Batch Size,Learning Rate,Validation Energy Loss,Achieved in Block
32,0.001,0.04909341782331467,2
32,0.0001,0.048572711646556854,1
32,1e-05,0.04799175262451172,4
32,1e-06,0.04980586841702461,16
32,1e-07,0.05054401606321335,15
64,0.001,0.048429377377033234,1
64,0.0001,0.049879126250743866,2
64,1e-05,0.04938148334622383,10
64,1e-06,0.04945966601371765,19
64,1e-07,0.05065256729722023,17
128,0.001,0.047264132648706436,1
128,0.0001,0.048729293048381805,2
128,1e-05,0.04959720000624657,10
128,1e-06,0.05056086182594299,20
128,1e-07,0.051699165254831314,19
256,0.001,0.04965010657906532,1
256,0.0001,0.049256760627031326,3
256,1e-05,0.049033693969249725,18
256,1e-06,0.051656100898981094,19
256,1e-07,0.0537755973637104,19
512,0.001,0.04812711477279663,3
512,0.0001,0.04919854551553726,4
512,1e-05,0.049584757536649704,20
512,1e-06,0.0502326637506485,20
512,1e-07,0.05352235212922096,20
